Stop,Delays
Dudley square,0
Washington St opp Ruggles St,2
Washington St @ Melnea Cass Blvd,2
Melnea Cass Blvd @ Harrison Ave,2
Albany St opp Randall St,2
Massachusetts Ave @ Albany St,2
Massachusetts Ave @ Harrison Ave,3
Massachusetts Ave @ Washington St,3
Massachusetts Ave @ Tremont St,2
Massachusetts Ave @ Columbus Ave,1
Massachusetts Ave @ Massachusetts Ave Station,2
Massachusetts Ave @ st Botolph St,3
Massachusetts Ave @ Clearway St,4
Massachusetts Ave @ Newbury St,2
Massachusetts Ave @ Beacon St,2
77 Massachusetts Ave,2
Massachusetts Ave @ Albany St,2
Massachusetts Ave @ Prospect St,1
Massachusetts Ave @ Bigelow St,2
Massachusetts Ave @ Hancock St,2
Massachusetts Ave @ Dana St,2
Massachusetts Ave @ Trowbridge St,1
Massachusetts Ave @ Bow St,2
Massachusetts Ave @ Holyoke St,1